"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.1971,37.332,-4.9427,1.0124e+05,0.10944,294.61,0.95423,0.01208,0
1.1972,36.838,-4.949,1.0124e+05,0.10803,294.59,0.96757,0.010329,0
1.197,36.217,-4.8453,1.0123e+05,0.10619,294.6,0.97974,0.008658,0
1.1962,35.383,-4.2726,1.0121e+05,0.10356,294.77,0.99097,0.006781,0
1.1914,32.991,-3.4037,1.0107e+05,0.096288,295.51,1.003,0.0041,0
1.1874,31.083,0.00021681,1.0093e+05,0.0906,296.12,1.0019,0,0
1.1874,31.083,3.0117,1.0093e+05,0.0906,296.11,1.003,-0.0041,0
1.1976,34.581,3.4068,1.0123e+05,0.10101,294.46,1.0047,-0.005872,0
1.1982,35.026,3.9277,1.0123e+05,0.10249,294.32,0.99172,-0.009355,0
1.199,35.835,4.5893,1.0124e+05,0.10508,294.15,0.98022,-0.01164,0
1.1992,36.484,4.7633,1.0124e+05,0.10702,294.12,0.96793,-0.013395,0
1.1992,37.005,4.7984,1.0124e+05,0.10854,294.12,0.95455,-0.015131,0
1.1991,37.448,4.7864,1.0124e+05,0.10981,294.13,0.9399,-0.016978,0
1.1989,37.84,4.7546,1.0123e+05,0.11093,294.13,0.92388,-0.01897,0
1.1988,38.197,4.7081,1.0122e+05,0.11194,294.14,0.90641,-0.021114,0
1.1987,38.529,4.6477,1.0121e+05,0.11288,294.14,0.88743,-0.023407,0
1.1986,38.839,4.5795,1.012e+05,0.11375,294.14,0.86688,-0.025843,0
1.1985,39.135,4.4998,1.0119e+05,0.11458,294.14,0.84475,-0.028412,0
