"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.8417,535.61,109.2,1.9267e+05,1.4309,363.94,2.4,0.30182,0
1.9524,516.48,123.19,2.0834e+05,1.3748,371.54,2.5,0.32728,0
2.0144,505.75,130.58,2.1724e+05,1.3446,375.65,2.6,0.35273,0
2.0415,501.02,133.87,2.2115e+05,1.3318,377.36,2.7,0.37819,0
2.0497,499.6,135.07,2.2227e+05,1.3283,377.77,2.8,0.40364,0
2.0497,499.61,135.33,2.222e+05,1.3287,377.66,2.9,0.4291,0
2.0469,500.11,135.24,2.2173e+05,1.3303,377.38,3,0.45455,0
2.0437,500.69,135.06,2.2121e+05,1.3322,377.08,3.1,0.48001,0
2.0408,501.23,134.9,2.2074e+05,1.3339,376.82,3.2,0.50546,0
2.0382,501.72,134.8,2.2033e+05,1.3354,376.58,3.3,0.53092,0
2.0359,502.18,134.75,2.1995e+05,1.3369,376.36,3.4,0.55637,0
2.0334,502.69,134.76,2.1955e+05,1.3386,376.13,3.5,0.58183,0
2.0306,503.27,134.83,2.191e+05,1.3406,375.88,3.6,0.60728,0
2.0273,503.99,134.94,2.1854e+05,1.343,375.54,3.7,0.63274,0
2.0228,505.04,135.11,2.1769e+05,1.3469,374.91,3.8,0.65819,0
2.0148,507.45,135.34,2.1548e+05,1.3573,372.57,3.9,0.68365,0
1.9076,526.25,126.01,1.9874e+05,1.419,362.46,4,0.7091,0
1.7187,557.21,105.45,1.718e+05,1.5181,347.8,4.1,0.7091,0
1.5637,581.67,83.835,1.5123e+05,1.599,336.55,4.2,0.7091,0
1.4441,600.09,64.15,1.3616e+05,1.6626,328.21,4.3,0.7091,0
1.353,613.89,47.395,1.2514e+05,1.7122,322,4.4,0.7091,0
1.2845,624.25,33.791,1.1706e+05,1.751,317.35,4.5,0.7091,0
1.2335,632.02,23.191,1.1116e+05,1.7811,313.86,4.6,0.7091,0
1.1962,637.83,15.255,1.0688e+05,1.8041,311.25,4.7,0.7091,0
1.1692,642.17,9.5525,1.0382e+05,1.8217,309.33,4.8,0.7091,0
1.1499,645.43,5.6303,1.0164e+05,1.8349,307.91,4.9,0.7091,0
1.1363,647.89,3.0598,1.0009e+05,1.8449,306.88,5,0.7091,0
1.1265,649.79,1.4659,98983,1.8526,306.11,5.1,0.7091,0
1.1193,651.32,0.54269,98165,1.8588,305.53,5.2,0.7091,0
1.1138,652.62,0.056068,97531,1.8639,305.06,5.3,0.7091,0
1.1093,653.78,-0.16373,97006,1.8685,304.65,5.4,0.7091,0
1.1054,654.88,-0.23361,96544,1.8728,304.28,5.5,0.7091,0
1.1017,655.94,-0.22977,96116,1.8769,303.92,5.6,0.7091,0
1.0983,656.99,-0.19883,95704,1.881,303.57,5.7,0.7091,0
1.0949,658.04,-0.16698,95300,1.8851,303.22,5.8,0.7091,0
1.0916,659.08,-0.14697,94901,1.8891,302.88,5.9,0.7091,0
1.0883,660.13,-0.14328,94506,1.8932,302.53,6,0.7091,0
1.085,661.18,-0.15559,94115,1.8973,302.2,6.1,0.7091,0
1.0817,662.23,-0.18121,93731,1.9013,301.86,6.2,0.7091,0
1.0785,663.27,-0.21651,93354,1.9054,301.54,6.3,0.7091,0
1.0754,664.3,-0.25784,92984,1.9093,301.22,6.4,0.7091,0
1.0723,665.33,-0.30197,92623,1.9133,300.91,6.5,0.7091,0
1.0693,666.34,-0.34631,92270,1.9172,300.61,6.6,0.7091,0
1.0664,667.36,-0.38898,91924,1.921,300.31,6.7,0.7091,0
1.0635,668.36,-0.42879,91586,1.9248,300.02,6.8,0.7091,0
1.0606,669.36,-0.46513,91255,1.9286,299.74,6.9,0.7091,0
1.0578,670.36,-0.49785,90930,1.9324,299.46,7,0.7091,0
1.0551,671.35,-0.52719,90611,1.9361,299.18,7.1,0.7091,0
1.0524,672.33,-0.55359,90298,1.9399,298.91,7.2,0.7091,0
