"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.1902,51.992,27.944,1.0071e+05,0.1717,294.79,-0.52684,0.91251,0
1.187,57.491,24.042,1.0032e+05,0.18137,294.44,-0.42857,0.96258,0
1.1841,62.033,19.074,99969,0.189,294.12,-0.32561,1.0021,0
1.1815,65.407,13.262,99662,0.19444,293.85,-0.21907,1.0307,0
1.1794,67.455,6.8709,99410,0.19763,293.63,-0.11014,1.0479,0
1.1778,68.081,0.19193,99220,0.19848,293.48,-0,1.0537,0
1.1766,67.254,-6.4682,99094,0.19701,293.39,0.11014,1.0479,0
1.176,65.013,-12.804,99033,0.19322,293.37,0.21907,1.0307,0
1.1758,61.465,-18.527,99033,0.18718,293.41,0.32561,1.0021,0
1.1761,56.778,-23.379,99089,0.179,293.51,0.42857,0.96258,0
1.1767,51.17,-27.146,99193,0.16881,293.67,0.52684,0.91251,0
1.1775,44.903,-29.669,99335,0.15679,293.88,0.61934,0.85245,0
1.1786,38.262,-30.851,99505,0.14313,294.12,0.70505,0.78304,0
1.1797,31.546,-30.656,99692,0.12803,294.39,0.78304,0.70505,0
1.1809,25.048,-29.116,99883,0.11173,294.66,0.85245,0.61934,0
1.1819,19.048,-26.323,1.0007e+05,0.094469,294.94,0.91251,0.52684,0
1.1829,13.791,-22.423,1.0024e+05,0.076493,295.21,0.96258,0.42857,0
1.1835,9.4847,-17.608,1.0038e+05,0.05808,295.46,1.0021,0.32561,0
1.1838,6.2899,-12.103,1.0049e+05,0.039604,295.74,1.0307,0.21907,0
1.1833,4.3163,-6.1542,1.0057e+05,0.022163,296.09,1.0479,0.11014,0
1.1828,3.6453,-3.101,1.006e+05,0.013918,296.29,1.0537,0,0
1.1836,4.7779,2.959,1.0065e+05,0.016324,296.25,1.0744,0,0
1.1841,5.4274,5.8712,1.0062e+05,0.023674,296.05,1.0685,-0.11231,0
1.1847,7.3299,11.545,1.0055e+05,0.039736,295.68,1.0509,-0.22338,0
1.1846,10.4,16.799,1.0044e+05,0.057383,295.38,1.0218,-0.33201,0
1.1841,14.534,21.401,1.003e+05,0.075174,295.11,0.98153,-0.437,0
1.1833,19.58,25.134,1.0014e+05,0.092641,294.82,0.93047,-0.53721,0
1.1824,25.343,27.814,99965,0.10948,294.52,0.86922,-0.63153,0
1.1814,31.586,29.299,99782,0.12542,294.22,0.79845,-0.71892,0
1.1804,38.045,29.498,99602,0.14022,293.95,0.71892,-0.79845,0
1.1795,44.435,28.379,99438,0.15364,293.69,0.63153,-0.86922,0
1.1787,50.47,25.971,99300,0.16546,293.48,0.53721,-0.93047,0
1.1782,55.874,22.367,99199,0.1755,293.32,0.437,-0.98153,0
1.178,60.395,17.718,99144,0.18357,293.21,0.33201,-1.0218,0
1.1781,63.82,12.231,99143,0.18954,293.16,0.22338,-1.0509,0
1.1788,65.989,6.151,99201,0.19331,293.17,0.11231,-1.0685,0
1.1799,66.799,-0.24278,99320,0.19481,293.25,0,-1.0744,0
1.1814,66.211,-6.657,99501,0.19402,293.4,-0.11231,-1.0685,0
1.1835,64.252,-12.797,99742,0.19095,293.6,-0.22338,-1.0509,0
1.1859,61.018,-18.381,1.0004e+05,0.18566,293.86,-0.33201,-1.0218,0
1.1887,56.659,-23.156,1.0038e+05,0.17823,294.16,-0.437,-0.98153,0
1.1918,51.379,-26.908,1.0075e+05,0.16878,294.49,-0.53721,-0.93047,0
