"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
2.3368,82.495,224.48,2.7504e+05,0.58926,410,-11.332,6.676,0
2.2681,93.438,243.03,2.6412e+05,0.64499,405.65,-11.229,6.9535,0
2.1431,112.83,278.22,2.4773e+05,0.74645,402.67,-11.121,7.2295,0
1.1434,252.23,253.01,1.2973e+05,1.0037,364.95,-11.006,7.5085,0
0.17426,443.88,110.8,16002,1.3437,308.42,-10.75,7.5099,0
0.12046,504.61,9.3056,10128,1.4718,292.75,-10.5,7.51,0
0.12968,487.98,-0.57943,11266,1.4007,302.34,-10.25,7.51,0
0.14525,462.17,-1.2095,13137,1.3004,314.7,-10,7.51,0
0.16303,430.79,-0.76327,15378,1.187,328.21,-9.75,7.51,0
0.18045,397.81,-0.21426,17688,1.075,341.2,-9.5,7.51,0
0.19432,376.21,-0.72348,19617,1.0012,351.57,-9.25,7.51,0
0.14245,296.64,-50.531,14749,0.80547,363.83,-8.9969,7.5091,0
0.10579,76.756,-19.687,12303,0.42643,399.58,-8.7692,7.3456,0
0.13974,-105.33,81.894,16653,0.3283,416.21,-8.5441,7.1831,0
0.15647,-143.71,104.24,18262,0.4392,406.55,-8.3191,7.0206,0
0.16178,-140.99,101.23,19029,0.42775,409.76,-8.0941,6.8581,0
0.16462,-130.39,93.459,19500,0.39397,412.67,-7.8691,6.6956,0
0.16652,-119.66,85.766,19823,0.36065,414.71,-7.6441,6.5331,0
0.16788,-110.14,78.966,20059,0.33137,416.26,-7.4191,6.3706,0
0.1689,-101.87,73.065,20241,0.30608,417.48,-7.1941,6.2081,0
0.16972,-94.602,67.866,20390,0.2839,418.53,-6.9691,6.0456,0
0.17045,-87.988,63.119,20524,0.26375,419.48,-6.7441,5.8831,0
0.17116,-81.656,58.55,20657,0.24446,420.43,-6.5191,5.7206,0
0.17194,-75.177,53.844,20801,0.2247,421.45,-6.2941,5.5581,0
0.17282,-68.098,48.671,20964,0.20313,422.6,-6.0691,5.3956,0
0.1738,-60.01,42.743,21147,0.17853,423.88,-5.8441,5.2331,0
0.17481,-50.652,35.883,21339,0.15018,425.24,-5.6191,5.0706,0
0.17578,-39.898,28.009,21524,0.11776,426.58,-5.3941,4.9081,0
0.1765,-27.935,19.292,21668,0.081908,427.67,-5.1691,4.7456,0
0.17683,-15.322,10.157,21740,0.044328,428.32,-4.9441,4.5831,0
0.17675,-2.6423,1.0127,21745,0.018807,428.59,-4.7191,4.4206,0
0.17631,9.7141,-7.875,21691,0.030178,428.6,-4.4941,4.2581,0
0.17565,21.616,-16.437,21600,0.065449,428.39,-4.2691,4.0956,0
0.17488,33.234,-24.814,21487,0.1,428.04,-4.0441,3.9331,0
0.17393,44.834,-33.192,21345,0.13458,427.54,-3.8191,3.7706,0
0.17274,56.526,-41.63,21164,0.16951,426.82,-3.5941,3.6081,0
0.17129,68.198,-50.037,20937,0.20449,425.81,-3.3691,3.4456,0
0.16963,79.621,-58.246,20672,0.23885,424.53,-3.1441,3.2831,0
0.16783,90.584,-66.112,20381,0.27199,423.05,-2.9191,3.1206,0
0.16594,100.92,-73.512,20074,0.3034,421.41,-2.6941,2.9581,0
0.16401,110.37,-80.256,19757,0.33231,419.65,-2.4691,2.7956,0
0.16213,118.52,-86.021,19447,0.35737,417.85,-2.2441,2.6331,0
0.16043,124.73,-90.36,19166,0.37663,416.18,-2.0191,2.4706,0
0.1591,128.3,-92.75,18945,0.38775,414.83,-1.7941,2.3081,0
0.15828,128.51,-92.675,18813,0.38841,414.05,-1.5691,2.1456,0
0.158,124.69,-89.644,18777,0.37648,414.01,-1.3441,1.9831,0
0.15805,115.85,-82.885,18819,0.3489,414.81,-1.1191,1.8206,0
0.15761,99.717,-70.576,18870,0.29847,417.09,-0.89414,1.6581,0
0.15351,70.855,-48.409,18762,0.20799,425.94,-0.66914,1.4956,0
0.13669,14.948,-4.889,17924,0.11232,459.33,-0.44414,1.3331,0
0.11063,-101.6,100.85,14690,0.34081,459.58,-0.21915,1.1705,0
0.097755,-180.8,177.36,12168,0.60672,433.63,0.008774,1.0046,0
0.22035,-5.0229,295.32,26852,0.71503,424.6,0.018723,1.01,0
0.23129,-4.2332,259.63,28785,0.62325,433.24,0.021761,0.75026,0
0.25158,-3.8018,195.54,32467,0.46083,449.4,0.022122,0.50002,0
0.26939,-4.9784,135.06,36018,0.31323,465.63,0.022135,0.25,0
0.28533,-7.9743,55.389,40377,0.13241,492.69,0.022135,-0,0
0.28758,-8.2457,-40.234,40752,0.11545,493.52,0.022135,-0.25,0
0.27329,-5.8763,-124.55,36835,0.28776,469.41,0.022122,-0.50002,0
0.2526,-6.2554,-204.99,32919,0.48145,453.64,0.021761,-0.75026,0
0.18111,-103.25,-217.64,22733,0.62569,433.83,0.018723,-1.01,0
0.12829,-145.92,-132.49,16532,0.47036,447.72,-0.21211,-1.18,0
0.13988,-54.46,-49.176,19160,0.16854,477.06,-0.4371,-1.3428,0
0.15294,8.1011,-0.44721,20196,0.073808,461.18,-0.6621,-1.5054,0
0.164,49.4,31.533,20423,0.14093,433.93,-0.8871,-1.6679,0
0.16695,77.591,53.323,20378,0.22786,425.24,-1.1121,-1.8304,0
0.16721,96.74,68.114,20259,0.28731,422.08,-1.3371,-1.9929,0
0.16701,109.13,77.743,20163,0.32592,420.59,-1.5621,-2.1554,0
0.16705,116.1,83.313,20145,0.34778,420.11,-1.7871,-2.3179,0
0.16761,118.45,85.464,20231,0.35532,420.49,-2.0121,-2.4804,0
0.16874,116.79,84.664,20420,0.35047,421.56,-2.2371,-2.6429,0
0.17038,111.79,81.389,20694,0.33535,423.12,-2.4621,-2.8054,0
0.17234,104.2,76.17,21021,0.31236,424.89,-2.6871,-2.9679,0
0.17444,94.751,69.548,21364,0.28386,426.65,-2.9121,-3.1304,0
0.1765,84.142,62.019,21696,0.25198,428.24,-3.1371,-3.2929,0
0.1784,72.901,53.98,21997,0.21834,429.56,-3.3621,-3.4554,0
0.18008,61.39,45.709,22259,0.184,430.6,-3.5871,-3.6179,0
0.18153,49.834,37.381,22477,0.14963,431.36,-3.8121,-3.7804,0
0.18272,38.36,29.096,22652,0.11557,431.87,-4.0371,-3.9429,0
0.1837,26.999,20.89,22788,0.081918,432.16,-4.2621,-4.1054,0
0.18449,15.679,12.724,22891,0.048469,432.27,-4.4871,-4.2679,0
0.18511,4.2713,4.5097,22964,0.018779,432.16,-4.7121,-4.4304,0
0.18548,-7.292,-3.8187,22997,0.021348,431.93,-4.9371,-4.5929,0
0.18552,-18.918,-12.218,22982,0.054099,431.56,-5.1621,-4.7554,0
0.18525,-30.388,-20.541,22914,0.08816,430.9,-5.3871,-4.9179,0
